Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id
2024-25,Manhattan,MAAC,JR,G,31,31,29.8,3.9,7.8,0.498,0.7,2.3,0.314,3.2,5.5,0.573,0.544,2.7,3.8,0.726,3.5,3.8,7.3,1.6,1.0,0.3,1.3,1.9,11.2,Unknown,MAAC,JR,G,31,31,923,20.0,0.585,0.29,0.485,367,13.4,14.2,13.8,10.2,2.1,1.0,12.1,18.4,2.5,0.9,3.4,0.148,2.3,-2.1,0.3,Unknown,masiah-gilyard-1
2022-23,The Citadel,Southern,FR,G,29.0,1.0,16.8,2.4,5.9,0.404,0.1,0.9,0.115,2.3,5.0,0.455,0.412,1.2,1.8,0.686,0.7,2.1,2.8,0.4,0.6,0.0,1.2,2.4,6.1,Unknown,Southern,FR,G,29.0,1.0,488.0,8.9,0.451,0.152,0.298,169.0,4.9,14.4,9.8,5.8,2.0,0.0,15.6,25.0,-0.4,0.4,0.0,0.0,-6.4,-2.6,-9.1,Unknown,aj-smith-2
2023-24,The Citadel,Southern,SO,G,29.0,29.0,32.1,6.0,13.3,0.453,1.2,3.4,0.354,4.8,9.9,0.488,0.499,3.0,3.7,0.796,0.8,3.5,4.3,1.3,0.7,0.0,1.8,1.8,16.2,Unknown,Southern,SO,G,29.0,29.0,932.0,17.4,0.539,0.256,0.28,427.0,3.1,13.1,8.2,9.3,1.2,0.1,10.4,27.4,1.7,0.8,2.5,0.106,1.2,-2.0,-0.8,Unknown,aj-smith-2
2024-25,College of Charleston,CAA,SO,G,30.0,22.0,25.5,4.1,9.4,0.431,0.6,2.5,0.25,3.4,6.9,0.498,0.465,2.7,3.6,0.752,1.2,2.0,3.1,0.9,0.7,0.0,1.1,2.1,11.5,Unknown,CAA,SO,G,30.0,22.0,766.0,13.6,0.515,0.269,0.385,318.0,5.3,8.5,6.9,6.7,1.5,0.1,9.2,24.2,0.9,0.8,1.8,0.093,-1.9,-1.2,-3.1,Unknown,aj-smith-2
2022-23,Fordham,A-10,FR,F,29.0,0.0,7.7,0.9,2.6,0.36,0.2,1.1,0.156,0.8,1.5,0.512,0.393,0.7,1.1,0.606,0.6,1.4,2.0,0.0,0.2,0.2,0.5,2.0,2.7,Unknown,A-10,FR,F,29.0,0.0,222.0,8.2,0.436,0.427,0.44,75.0,8.5,21.3,14.8,0.0,1.8,2.3,14.2,23.6,-0.1,0.5,0.4,0.067,-7.2,-0.2,-7.5,Unknown,elijah-gray-1
2023-24,Fordham,A-10,SO,F,32.0,9.0,18.0,2.9,7.0,0.42,0.8,2.6,0.286,2.2,4.4,0.5,0.473,1.8,2.3,0.767,1.2,2.5,3.7,0.8,0.3,0.4,1.5,2.6,8.4,Unknown,A-10,SO,F,32.0,9.0,577.0,14.4,0.518,0.375,0.326,248.0,6.5,17.0,11.3,10.9,1.1,2.6,15.4,25.9,0.5,0.7,1.3,0.09,-1.2,-0.5,-1.7,Unknown,elijah-gray-1
2024-25,Temple,AAC,JR,F,25.0,0.0,19.7,3.1,6.4,0.481,0.6,1.8,0.304,2.5,4.6,0.553,0.525,2.3,3.0,0.75,1.1,2.6,3.8,0.6,0.4,0.3,1.6,2.8,9.0,Unknown,AAC,JR,F,25.0,0.0,493.0,15.4,0.574,0.288,0.475,211.0,6.6,14.9,10.9,6.3,1.2,1.7,16.6,23.8,0.8,0.4,1.2,0.095,-1.7,-1.8,-3.5,Unknown,elijah-gray-1
2024-25,Southern Utah,WAC,SR,F,31,31,32.0,5.3,12.7,0.415,1.2,3.6,0.339,4.1,9.1,0.445,0.463,4.3,5.3,0.8,1.1,3.6,4.7,1.8,0.4,0.1,2.8,1.6,16.1,Unknown,WAC,SR,F,31,31,991,13.8,0.526,0.284,0.418,464,3.9,11.8,8.0,12.4,0.6,0.2,15.7,27.7,0.9,1.0,1.9,0.079,-0.1,-2.6,-2.8,Unknown,jamir-simpson-1
2023-24,Idaho,Big Sky,JR,G,29.0,8.0,18.6,1.8,4.7,0.38,0.8,2.6,0.289,1.0,2.1,0.492,0.46,1.4,1.9,0.745,0.4,1.8,2.2,0.6,0.8,0.3,0.8,1.6,5.8,Unknown,Big Sky,JR,G,29.0,8.0,540.0,11.9,0.512,0.555,0.401,158.0,2.9,11.9,7.4,6.1,2.7,2.2,12.8,18.7,0.3,0.6,0.9,0.068,-2.9,-0.9,-3.7,Unknown,ej-neal-1
2024-25,Sacramento State,Big Sky,SR,G,32.0,25.0,26.0,2.8,7.2,0.383,1.7,5.0,0.342,1.0,2.2,0.478,0.502,0.8,1.1,0.765,0.6,2.5,3.1,1.6,0.9,0.4,1.0,2.4,8.0,Unknown,Big Sky,SR,G,32.0,25.0,831.0,12.0,0.522,0.7,0.148,245.0,2.8,11.8,7.2,12.9,2.1,2.3,11.5,17.7,0.8,1.0,1.8,0.085,-1.7,-0.8,-2.5,Unknown,ej-neal-1
2023-24,Kansas State,Big 12,FR,F,16,0,9.6,1.7,2.4,0.692,0.0,0.1,0.0,1.7,2.3,0.73,0.692,0.4,0.8,0.538,0.9,1.6,2.5,0.1,0.3,0.1,0.2,1.0,3.8,Unknown,Big 12,FR,F,16,0,153,21.8,0.675,0.051,0.333,52,11.7,17.7,14.8,3.1,1.9,0.7,6.2,15.9,0.5,0.3,0.7,0.186,2.9,2.3,5.2,Unknown,macaleab-rich-1
2024-25,Kansas State,Big 12,SO,F,13,0,12.5,2.2,3.5,0.644,0.3,0.5,0.571,1.9,2.9,0.658,0.689,1.2,1.4,0.833,0.7,1.5,2.2,0.2,0.4,0.0,1.0,2.0,5.9,Unknown,Big 12,SO,F,13,0,163,17.4,0.719,0.156,0.4,62,6.3,14.3,10.3,2.6,1.8,0.0,19.5,20.8,0.3,0.2,0.6,0.138,-0.2,1.3,1.2,Unknown,macaleab-rich-1
2024-25,IU Indy,Horizon,SR,G,32,27,30.4,2.5,5.5,0.463,1.7,3.9,0.435,0.8,1.6,0.529,0.617,1.4,1.8,0.789,0.2,1.6,1.8,3.7,0.8,0.1,1.3,2.6,8.2,Unknown,Horizon,SR,G,32,27,973,12.8,0.646,0.709,0.326,279,0.8,6.6,3.5,22.4,1.5,0.2,16.5,12.8,2.2,0.0,2.2,0.09,-0.4,-3.2,-3.7,Unknown,alec-millender-1
2020-21,Iona,MAAC,FR,F,18.0,12.0,15.4,1.2,2.7,0.429,0.1,0.3,0.167,1.1,2.4,0.465,0.439,0.3,0.8,0.333,0.9,2.5,3.4,1.1,0.3,0.2,1.2,2.8,2.7,Unknown,MAAC,FR,F,18.0,12.0,277.0,5.8,0.428,0.122,0.306,59.0,7.3,18.4,13.0,13.3,1.2,1.7,28.2,13.9,-0.1,0.5,0.4,0.053,-6.0,0.5,-5.5,Unknown,dwayne-koroma-1
2023-24,UT Arlington,WAC,SO,F,33.0,14.0,14.6,1.7,2.5,0.667,0.2,0.4,0.385,1.5,2.2,0.718,0.696,0.8,1.4,0.578,1.2,1.5,2.7,0.6,0.4,0.2,0.8,2.1,4.3,Unknown,WAC,SO,F,33.0,14.0,481.0,13.8,0.679,0.155,0.536,139.0,9.8,11.1,10.4,7.9,1.5,1.1,19.2,12.9,0.9,0.6,1.5,0.124,0.0,0.1,0.1,Unknown,dwayne-koroma-1
2024-25,Le Moyne,NEC,JR,F,31.0,30.0,28.3,4.9,6.9,0.714,0.2,0.5,0.357,4.7,6.4,0.739,0.725,1.5,3.3,0.471,2.4,4.8,7.2,2.0,1.4,0.2,2.5,3.0,11.5,Unknown,NEC,JR,F,31.0,30.0,878.0,20.1,0.683,0.066,0.479,351.0,10.2,20.1,15.2,15.3,2.8,0.9,23.2,19.9,1.7,0.8,2.5,0.114,0.0,-2.2,-2.2,Unknown,dwayne-koroma-1
2023-24,Georgia,SEC,FR,G,37,36,27.8,3.0,7.1,0.424,0.5,1.8,0.303,2.5,5.4,0.465,0.462,3.1,4.4,0.706,0.4,3.4,3.8,2.5,1.4,0.4,1.9,2.4,9.7,Unknown,SEC,FR,G,37,36,1028,14.1,0.526,0.25,0.617,368,1.7,13.3,7.5,17.0,2.9,1.6,17.2,19.9,0.9,1.4,2.3,0.09,-0.5,3.5,2.9,Unknown,silas-demary-jr-2
2024-25,Georgia,SEC,SO,G,33,33,31.5,3.9,9.9,0.396,1.8,4.7,0.374,2.2,5.2,0.416,0.485,3.8,4.8,0.804,0.7,3.2,3.9,3.1,1.7,0.2,2.3,2.5,13.5,Unknown,SEC,SO,G,33,33,1039,17.0,0.552,0.473,0.482,446,2.8,11.2,7.2,18.8,3.1,0.7,15.7,22.9,2.1,1.6,3.7,0.142,3.1,3.2,6.3,Unknown,silas-demary-jr-2
2021-22,Dayton,A-10,FR,G,33,29,30.9,3.2,8.0,0.403,0.6,1.5,0.4,2.6,6.5,0.404,0.441,2.3,2.9,0.784,0.7,3.4,4.1,5.3,1.8,0.1,2.0,2.3,9.3,Unknown,A-10,FR,G,33,29,1021,17.6,0.498,0.19,0.369,380,3.1,12.8,8.2,31.9,3.6,0.5,17.8,20.0,2.0,2.1,4.1,0.161,1.1,3.5,4.6,Unknown,malachi-smith-2
2022-23,Dayton,A-10,SO,G,19,16,29.8,2.6,6.6,0.397,0.9,2.5,0.383,1.7,4.2,0.405,0.468,1.5,2.1,0.7,0.4,2.4,2.7,5.6,1.2,0.1,1.9,1.6,7.7,Unknown,A-10,SO,G,19,16,566,14.9,0.503,0.373,0.317,186,1.6,8.8,5.5,36.4,2.6,0.4,19.9,17.6,0.9,1.0,1.9,0.137,1.2,1.7,2.8,Unknown,malachi-smith-2
2023-24,Dayton,A-10,JR,G,1,1,7.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,Unknown,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Unknown,A-10,JR,G,1,1,7,2.5,Unknown,Unknown,Unknown,1,0.0,0.0,0.0,45.6,0.0,0.0,100.0,7.9,0.0,0.0,0.0,-0.015,-1.9,-1.3,-3.2,Unknown,malachi-smith-2
2024-25,Dayton,A-10,SR,G,33,31,27.8,3.5,8.2,0.424,0.9,2.5,0.383,2.5,5.8,0.442,0.482,2.5,3.4,0.717,0.5,2.5,2.9,5.3,1.0,0.0,2.1,1.7,10.4,Unknown,A-10,SR,G,33,31,916,16.6,0.527,0.299,0.417,400,2.2,10.5,6.4,37.4,2.2,0.1,17.7,22.8,1.7,0.9,2.7,0.117,2.4,-0.4,2.0,Unknown,malachi-smith-2
2023-24,Memphis,AAC,FR,F,3.0,0.0,1.7,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,Unknown,Unknown,0.0,0.0,Unknown,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,AAC,FR,F,3.0,0.0,5.0,6.2,Unknown,Unknown,Unknown,0.0,0.0,42.7,21.9,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.076,-1.4,0.6,-0.9,Unknown,jj-taylor-2
2024-25,UCF,Big 12,SO,F,25.0,0.0,13.8,1.3,3.2,0.407,0.5,1.6,0.325,0.8,1.6,0.488,0.488,1.2,1.8,0.652,0.6,1.7,2.2,0.8,0.4,0.3,1.1,1.4,4.4,Unknown,Big 12,SO,F,25.0,0.0,345.0,10.1,0.53,0.494,0.568,109.0,4.3,13.2,8.7,10.8,1.4,2.0,21.4,18.0,0.1,0.3,0.4,0.046,-0.3,1.1,0.7,Unknown,jj-taylor-2
2023-24,George Washington,A-10,FR,F,29,21,30.9,5.5,10.1,0.546,0.3,1.1,0.323,5.2,9.0,0.573,0.563,4.2,6.7,0.634,1.7,4.8,6.6,2.4,1.3,0.4,2.2,1.7,15.6,Unknown,A-10,FR,F,29,21,896,22.6,0.588,0.106,0.662,450,6.5,16.4,11.7,16.7,2.4,1.4,14.4,25.3,2.3,1.1,3.4,0.15,2.8,0.4,3.2,Unknown,darren-buchanan-jr-1
2024-25,George Washington,A-10,SO,F,32,15,28.4,3.5,7.7,0.455,0.2,1.3,0.175,3.3,6.4,0.51,0.47,3.4,5.1,0.663,1.7,4.2,5.8,2.1,0.9,0.4,1.9,2.0,10.6,Unknown,A-10,SO,F,32,15,910,15.7,0.524,0.163,0.663,351,6.9,16.5,11.8,14.9,2.0,1.6,16.1,21.6,1.1,1.6,2.7,0.118,-0.6,0.5,-0.2,Unknown,darren-buchanan-jr-1
2023-24,Arkansas,SEC,FR,F,9.0,0.0,5.0,0.1,0.2,0.5,0.0,0.0,,0.1,0.2,0.5,0.5,0.6,1.7,0.333,0.6,0.8,1.3,0.0,0.3,0.7,0.7,1.1,0.8,Unknown,SEC,FR,F,9.0,0.0,45.0,7.3,0.384,0.0,7.5,10.0,13.4,17.0,15.3,0.0,3.7,13.3,39.7,16.7,-0.1,0.1,0.0,-0.021,-9.2,4.0,-5.2,Unknown,baye-fall-2
2024-25,Kansas State,Big 12,SO,F,4.0,0.0,6.5,1.3,2.0,0.625,0.0,0.0,,1.3,2.0,0.625,0.625,0.0,0.0,Unknown,1.0,0.5,1.5,0.0,0.0,0.8,0.8,1.3,2.5,Unknown,Big 12,SO,F,4.0,0.0,26.0,15.8,0.625,0.0,0.0,9.0,17.7,8.9,13.3,0.0,0.0,12.3,27.3,21.6,0.0,0.0,0.0,0.064,-4.8,0.5,-4.3,Unknown,baye-fall-2
2023-24,NJIT,AEC,FR,G,27,11,27.5,5.1,13.2,0.389,2.1,6.1,0.352,3.0,7.1,0.422,0.471,2.3,3.0,0.788,1.1,2.9,4.1,2.6,1.5,0.1,2.0,2.4,14.8,Unknown,AEC,FR,G,27,11,742,19.1,0.505,0.462,0.224,385,4.4,12.5,8.2,23.6,3.1,0.4,12.0,30.2,1.2,0.7,1.8,0.099,2.7,-1.6,1.2,Unknown,tariq-francis-1
2024-25,NJIT,AEC,SO,G,27,26,34.7,6.8,18.4,0.369,2.6,7.9,0.324,4.2,10.5,0.403,0.439,3.1,3.7,0.84,0.7,3.6,4.3,3.6,1.0,0.0,3.1,2.8,19.2,Unknown,AEC,SO,G,27,26,936,15.3,0.477,0.429,0.202,501,2.1,11.7,6.8,26.7,1.8,0.1,13.2,34.4,0.5,0.8,1.3,0.055,0.2,-2.8,-2.6,Unknown,tariq-francis-1
2021-22,Louisiana State,SEC,FR,F,7.0,0.0,4.1,0.6,1.4,0.4,0.0,0.0,Unknown,0.6,1.4,0.4,0.4,0.4,0.9,0.5,0.6,0.3,0.9,0.0,0.0,0.1,0.1,0.1,1.6,Unknown,SEC,FR,F,7.0,0.0,29.0,14.2,0.428,0.0,0.6,11.0,15.6,7.7,11.6,0.0,0.0,4.8,7.2,23.2,0.0,0.0,0.1,0.101,-2.2,-1.6,-3.8,Unknown,bradley-ezewiro-1
2022-23,Georgetown,Big East,SO,F,27.0,7.0,12.1,1.5,2.9,0.519,0.0,0.0,Unknown,1.5,2.9,0.519,0.519,1.3,2.1,0.586,1.2,2.3,3.5,0.1,0.3,0.7,0.5,1.9,4.3,Unknown,Big East,SO,F,27.0,7.0,327.0,18.3,0.544,0.0,0.734,114.0,10.9,21.2,16.0,1.2,1.4,5.9,10.9,18.2,0.6,0.3,0.9,0.106,-0.5,0.5,0.0,Unknown,bradley-ezewiro-1
2023-24,Saint Louis,A-10,JR,F,22.0,21.0,21.9,4.3,8.0,0.534,0.0,0.0,0.0,4.3,8.0,0.537,0.534,3.4,4.8,0.708,2.0,4.3,6.2,1.1,0.5,0.8,1.5,2.8,12.0,Unknown,A-10,JR,F,22.0,21.0,481.0,23.7,0.581,0.006,0.602,258.0,10.6,22.4,16.6,11.2,1.3,4.1,12.7,27.4,1.4,0.3,1.7,0.139,3.1,-1.0,2.1,Unknown,bradley-ezewiro-1
2024-25,UAB,AAC,SR,F,37.0,2.0,16.4,2.4,4.5,0.521,0.0,0.1,0.0,2.4,4.5,0.527,0.521,2.5,3.2,0.765,1.9,2.6,4.5,0.3,0.2,0.7,0.7,2.0,7.2,Unknown,AAC,SR,F,37.0,2.0,605.0,20.4,0.593,0.012,0.713,259.0,12.2,17.2,14.6,3.3,0.8,4.2,10.8,19.5,1.8,0.7,2.4,0.161,0.6,-1.2,-0.5,Unknown,bradley-ezewiro-1
2022-23,Xavier,Big East,FR,G,35.0,1.0,20.8,1.8,4.3,0.423,0.3,1.2,0.293,1.5,3.1,0.472,0.463,0.8,1.4,0.571,0.3,2.1,2.5,1.8,0.8,0.1,1.5,2.0,4.7,Unknown,Big East,FR,G,35.0,1.0,729.0,7.7,0.482,0.275,0.329,178.0,2.0,11.3,6.8,13.1,2.2,0.7,22.8,14.9,0.0,0.9,0.8,0.046,-2.3,2.4,0.1,Unknown,desmond-claude-1
