,success_probability,predicted_successful,confidence,key_factors,player
123,0.5279196839018302,True,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",zachary-davis-1
124,0.7508119793116339,True,Medium,"{'positive_factors': [], 'negative_factors': ['before_WS/40', 'cluster', 'before_USG%', 'before_OWS', 'before_G_x']}",oleg-kojenets-2
125,0.7285187249679989,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",tayton-conerway-1
126,0.745795636008455,True,Medium,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",jasai-miles-1
127,0.46278650338196464,False,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",elijah-moore-1
128,0.7295024227635943,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",mekhi-mason-1
129,0.756423458400869,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",oziyah-sellers-1
130,0.5438398261547837,True,Low,"{'positive_factors': ['cluster', 'sos_change'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS']}",jasper-floyd-1
131,0.739131521894683,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",brady-dunlap-1
132,0.728931624150052,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",ketron-shaw-1
133,0.5220495516519952,True,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",jordan-derkack-1
134,0.4673985240197873,False,Low,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",ahmad-nowell-1
135,0.7753142612322573,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",julius-thedford-1
136,0.7376450045917896,True,Medium,"{'positive_factors': ['cluster'], 'negative_factors': ['before_WS/40', 'before_USG%', 'before_OWS', 'before_G_x']}",zion-stanford-1
