Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster
2024-25,Southern Utah,WAC,SR,F,31,31,32.0,5.3,12.7,0.415,1.2,3.6,0.339,4.1,9.1,0.445,0.463,4.3,5.3,0.8,1.1,3.6,4.7,1.8,0.4,0.1,2.8,1.6,16.1,Unknown,WAC,SR,F,31,31,991,13.8,0.526,0.284,0.418,464,3.9,11.8,8.0,12.4,0.6,0.2,15.7,27.7,0.9,1.0,1.9,0.079,-0.1,-2.6,-2.8,Unknown,jamir-simpson-1,4
2024-25,Sacramento State,Big Sky,SR,G,32.0,25.0,26.0,2.8,7.2,0.383,1.7,5.0,0.342,1.0,2.2,0.478,0.502,0.8,1.1,0.765,0.6,2.5,3.1,1.6,0.9,0.4,1.0,2.4,8.0,Unknown,Big Sky,SR,G,32.0,25.0,831.0,12.0,0.522,0.7,0.148,245.0,2.8,11.8,7.2,12.9,2.1,2.3,11.5,17.7,0.8,1.0,1.8,0.085,-1.7,-0.8,-2.5,Unknown,ej-neal-1,4
2024-25,Kansas State,Big 12,SO,F,13,0,12.5,2.2,3.5,0.644,0.3,0.5,0.571,1.9,2.9,0.658,0.689,1.2,1.4,0.833,0.7,1.5,2.2,0.2,0.4,0.0,1.0,2.0,5.9,Unknown,Big 12,SO,F,13,0,163,17.4,0.719,0.156,0.4,62,6.3,14.3,10.3,2.6,1.8,0.0,19.5,20.8,0.3,0.2,0.6,0.138,-0.2,1.3,1.2,Unknown,macaleab-rich-1,2
2024-25,IU Indy,Horizon,SR,G,32,27,30.4,2.5,5.5,0.463,1.7,3.9,0.435,0.8,1.6,0.529,0.617,1.4,1.8,0.789,0.2,1.6,1.8,3.7,0.8,0.1,1.3,2.6,8.2,Unknown,Horizon,SR,G,32,27,973,12.8,0.646,0.709,0.326,279,0.8,6.6,3.5,22.4,1.5,0.2,16.5,12.8,2.2,0.0,2.2,0.09,-0.4,-3.2,-3.7,Unknown,alec-millender-1,4
2024-25,Le Moyne,NEC,JR,F,31.0,30.0,28.3,4.9,6.9,0.714,0.2,0.5,0.357,4.7,6.4,0.739,0.725,1.5,3.3,0.471,2.4,4.8,7.2,2.0,1.4,0.2,2.5,3.0,11.5,Unknown,NEC,JR,F,31.0,30.0,878.0,20.1,0.683,0.066,0.479,351.0,10.2,20.1,15.2,15.3,2.8,0.9,23.2,19.9,1.7,0.8,2.5,0.114,0.0,-2.2,-2.2,Unknown,dwayne-koroma-1,3
2024-25,Georgia,SEC,SO,G,33,33,31.5,3.9,9.9,0.396,1.8,4.7,0.374,2.2,5.2,0.416,0.485,3.8,4.8,0.804,0.7,3.2,3.9,3.1,1.7,0.2,2.3,2.5,13.5,Unknown,SEC,SO,G,33,33,1039,17.0,0.552,0.473,0.482,446,2.8,11.2,7.2,18.8,3.1,0.7,15.7,22.9,2.1,1.6,3.7,0.142,3.1,3.2,6.3,Unknown,silas-demary-jr-2,2
2024-25,Dayton,A-10,SR,G,33,31,27.8,3.5,8.2,0.424,0.9,2.5,0.383,2.5,5.8,0.442,0.482,2.5,3.4,0.717,0.5,2.5,2.9,5.3,1.0,0.0,2.1,1.7,10.4,Unknown,A-10,SR,G,33,31,916,16.6,0.527,0.299,0.417,400,2.2,10.5,6.4,37.4,2.2,0.1,17.7,22.8,1.7,0.9,2.7,0.117,2.4,-0.4,2.0,Unknown,malachi-smith-2,2
2024-25,UCF,Big 12,SO,F,25.0,0.0,13.8,1.3,3.2,0.407,0.5,1.6,0.325,0.8,1.6,0.488,0.488,1.2,1.8,0.652,0.6,1.7,2.2,0.8,0.4,0.3,1.1,1.4,4.4,Unknown,Big 12,SO,F,25.0,0.0,345.0,10.1,0.53,0.494,0.568,109.0,4.3,13.2,8.7,10.8,1.4,2.0,21.4,18.0,0.1,0.3,0.4,0.046,-0.3,1.1,0.7,Unknown,jj-taylor-2,4
2024-25,George Washington,A-10,SO,F,32,15,28.4,3.5,7.7,0.455,0.2,1.3,0.175,3.3,6.4,0.51,0.47,3.4,5.1,0.663,1.7,4.2,5.8,2.1,0.9,0.4,1.9,2.0,10.6,Unknown,A-10,SO,F,32,15,910,15.7,0.524,0.163,0.663,351,6.9,16.5,11.8,14.9,2.0,1.6,16.1,21.6,1.1,1.6,2.7,0.118,-0.6,0.5,-0.2,Unknown,darren-buchanan-jr-1,0
2024-25,Kansas State,Big 12,SO,F,4.0,0.0,6.5,1.3,2.0,0.625,0.0,0.0,0,1.3,2.0,0.625,0.625,0.0,0.0,Unknown,1.0,0.5,1.5,0.0,0.0,0.8,0.8,1.3,2.5,Unknown,Big 12,SO,F,4.0,0.0,26.0,15.8,0.625,0.0,0.0,9.0,17.7,8.9,13.3,0.0,0.0,12.3,27.3,21.6,0.0,0.0,0.0,0.064,-4.8,0.5,-4.3,Unknown,baye-fall-2,0
