Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,previous_school
2022-23,UTSA,CUSA,SR,G,29.0,28.0,30.2,4.2,10.2,0.41,0.7,2.1,0.311,3.5,8.1,0.436,0.442,4.7,6.5,0.714,0.6,2.8,3.4,3.8,1.5,0.2,3.0,2.4,13.7,Unknown,CUSA,SR,G,29.0,28.0,875.0,17.1,0.515,0.207,0.641,413.0,2.2,10.4,6.3,28.7,2.9,0.8,18.3,26.9,1.1,0.7,1.8,0.084,0.4,-0.8,-0.4,Unknown,japhet-medor-1,
2023-24,Fordham,A-10,SR,G,31.0,22.0,23.5,2.9,8.7,0.332,1.4,4.1,0.336,1.5,4.6,0.329,0.411,2.6,3.7,0.719,0.7,1.2,1.9,2.3,0.9,0.2,1.7,2.2,9.8,Unknown,A-10,SR,G,31.0,22.0,730.0,11.9,0.469,0.472,0.421,304.0,3.1,6.1,4.4,20.7,2.2,1.0,14.0,25.3,0.5,0.8,1.3,0.072,-0.9,-0.5,-1.4,Unknown,japhet-medor-1,UTSA
2024-25,Fordham,A-10,SR,G,33.0,32.0,32.9,3.8,10.2,0.373,1.5,4.5,0.345,2.3,5.8,0.395,0.448,4.4,5.3,0.829,0.7,2.3,3.0,4.0,1.6,0.2,1.8,2.6,13.6,Unknown,A-10,SR,G,33.0,32.0,1087.0,16.3,0.532,0.438,0.518,464.0,2.3,8.1,5.0,23.3,2.8,0.5,12.1,21.3,2.3,0.8,3.2,0.116,1.1,-0.5,0.6,Unknown,japhet-medor-1,Fordham
2021-22,Hofstra,CAA,FR,G,19.0,0.0,8.6,0.4,1.6,0.226,0.1,0.8,0.063,0.3,0.8,0.4,0.242,0.1,0.2,0.667,0.1,0.5,0.6,1.2,0.3,0.1,0.8,0.9,0.9,Unknown,CAA,FR,G,19.0,0.0,163.0,0.1,0.262,0.516,0.097,30.0,1.4,6.5,3.9,20.9,1.7,0.7,33.0,15.1,-0.4,0.1,-0.2,-0.059,-9.8,-3.0,-12.8,Unknown,jaquan-carlos-1,
2022-23,Hofstra,CAA,SO,G,35.0,34.0,32.7,2.3,6.3,0.36,1.0,3.2,0.321,1.3,3.1,0.4,0.441,1.1,1.4,0.792,0.5,3.3,3.8,4.8,1.5,0.1,1.8,1.6,6.7,Unknown,CAA,SO,G,35.0,34.0,1145.0,12.2,0.478,0.505,0.216,316.0,2.1,10.8,6.7,23.0,2.7,0.3,20.2,14.2,1.1,2.0,3.1,0.109,-1.5,1.1,-0.4,Unknown,jaquan-carlos-1,Hofstra
2023-24,Hofstra,CAA,JR,G,33.0,33.0,35.5,3.5,8.6,0.413,1.3,3.9,0.344,2.2,4.7,0.471,0.491,2.0,2.2,0.892,0.4,4.0,4.4,6.3,1.6,0.1,2.6,2.2,10.4,Unknown,CAA,JR,G,33.0,33.0,1171.0,15.2,0.541,0.452,0.261,433.0,1.3,12.8,7.3,30.5,2.7,0.2,21.5,18.6,1.9,1.7,3.6,0.123,-0.7,1.1,0.4,Unknown,jaquan-carlos-1,Hofstra
2024-25,Syracuse,ACC,SR,G,33.0,21.0,28.7,2.2,5.5,0.403,0.5,1.6,0.321,1.7,3.9,0.438,0.45,1.2,1.7,0.702,0.3,1.9,2.2,4.1,1.1,0.2,1.8,1.9,6.2,Unknown,ACC,SR,G,33.0,21.0,947.0,9.8,0.488,0.293,0.315,250.0,1.4,7.7,4.5,24.1,2.2,0.6,22.4,14.2,0.5,0.6,1.1,0.047,-1.4,1.0,-0.3,Unknown,jaquan-carlos-1,Hofstra
2022-23,Seton Hall,Big East,FR,G,22.0,0.0,9.1,0.8,2.1,0.362,0.5,1.7,0.324,0.2,0.5,0.5,0.489,0.2,0.2,0.8,0.3,0.8,1.1,0.4,0.0,0.1,0.5,0.5,2.3,Unknown,Big East,FR,G,22.0,0.0,201.0,7.6,0.506,0.787,0.106,49.0,4.1,9.7,6.9,8.8,0.3,1.7,19.6,15.6,0.1,0.2,0.3,0.06,-0.1,0.3,0.2,Unknown,jaquan-sanders-1,
2023-24,Seton Hall,Big East,SO,G,35.0,0.0,10.5,1.0,2.3,0.444,0.5,1.5,0.373,0.5,0.9,0.567,0.562,0.1,0.2,0.667,0.2,0.7,0.9,0.4,0.2,0.2,0.4,0.5,2.7,Unknown,Big East,SO,G,35.0,0.0,367.0,10.0,0.566,0.63,0.074,86.0,2.6,7.5,5.1,6.3,1.1,1.9,14.3,13.5,0.4,0.3,0.7,0.076,0.3,0.9,1.2,Unknown,jaquan-sanders-1,Seton Hall
2024-25,Hofstra,CAA,JR,G,24.0,13.0,20.0,2.1,6.9,0.301,1.3,4.8,0.276,0.8,2.1,0.36,0.398,0.7,0.8,0.8,0.3,1.0,1.3,1.3,0.5,0.1,1.0,1.2,6.2,Unknown,CAA,JR,G,24.0,13.0,479.0,6.6,0.422,0.699,0.12,143.0,1.7,5.5,3.7,12.8,1.5,0.5,11.6,22.6,-0.3,0.7,0.3,0.028,-3.7,-1.8,-5.5,Unknown,jaquan-sanders-1,Seton Hall
