cluster,FG%,3P%,2P%,eFG%,FT%,TS%,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,OBPM,DBPM,BPM
0,0.5227407407407407,0.15946296296296297,0.5707592592592593,0.5472592592592592,0.5676296296296296,0.5633333333333334,13.394444444444444,0.17759259259259258,0.44705555555555554,9.181481481481482,16.392592592592592,12.803703703703704,6.122222222222223,1.25,4.92037037037037,18.942592592592593,17.53148148148148,0.08955555555555555,-2.759259259259259,0.825925925925926,-1.9425925925925926
1,0.2532272727272727,0.128,0.27736363636363637,0.2943636363636364,0.2515454545454545,0.3055454545454545,2.5545454545454547,0.4616818181818182,0.1655,6.054545454545454,11.14090909090909,8.65,9.227272727272727,1.440909090909091,1.1090909090909091,18.477272727272727,18.004545454545454,-0.018863636363636364,-8.377272727272727,-0.8818181818181817,-9.263636363636364
2,0.45917679558011054,0.36513259668508286,0.5173425414364641,0.539292817679558,0.7606243093922652,0.5767955801104973,18.25524861878453,0.42372928176795577,0.34451933701657456,4.1353591160221,12.634806629834255,8.41988950276243,15.493370165745857,2.095027624309392,1.3353591160220994,12.404419889502762,23.971823204419888,0.136,2.4513812154696133,0.33480662983425413,2.7845303867403315
3,0.5837954545454546,0.20457954545454546,0.6193295454545454,0.6026704545454545,0.636909090909091,0.61475,21.970454545454547,0.11978409090909091,0.4950113636363636,10.742045454545455,19.79659090909091,15.34772727272727,9.380681818181818,1.9761363636363638,5.1875,13.75340909090909,20.818181818181817,0.17222727272727273,2.15,2.084090909090909,4.230681818181818
4,0.4004171779141104,0.3200306748466258,0.4686625766871165,0.4800736196319018,0.7324355828220859,0.5121104294478528,12.062576687116565,0.48538650306748465,0.26488957055214724,3.216564417177914,10.649079754601226,6.946012269938651,14.860736196319019,1.99079754601227,1.0570552147239265,14.85276073619632,19.942331288343556,0.07886503067484663,-0.554601226993865,0.6055214723926381,0.047239263803680966
