Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster,standard_player,player,new_team_x,new_university_name,new_team_name,before_Team,old_rank,old_netrtg,old_adjt,old_luck,old_sos,old_sos_ooc,new_rank,new_netrtg,new_adjt,new_luck,new_sos,new_sos_ooc,rank_change,netrtg_change,adjt_change,luck_change,sos_change,sos_ooc_change,Pos_C,Pos_F,Pos_G,Class_FR,Class_JR,Class_SO,Class_SR
2024-25,UAB,AAC,SR,F,37.0,2.0,16.4,2.4,4.5,0.521,0.0,0.1,0.0,2.4,4.5,0.527,0.521,2.5,3.2,0.765,1.9,2.6,4.5,0.3,0.2,0.7,0.7,2.0,7.2,Unknown,AAC,SR,F,37.0,2.0,605.0,20.4,0.593,0.012,0.713,259.0,12.2,17.2,14.6,3.3,0.8,4.2,10.8,19.5,1.8,0.7,2.4,0.161,0.6,-1.2,-0.5,Unknown,bradley-ezewiro-1,3,bradley ezewiro,Bradley Ezewiro,San Diego Toreros,San Diego,Toreros,UAB,99.0,6.7,69.5,-0.017,0.66,-8.4,297.0,-11.44,71.3,-0.074,0.76,-4.45,198.0,-18.14,1.7999999999999972,-0.056999999999999995,0.09999999999999998,3.95,0,1,0,0,0,0,1
2024-25,Southern California,Big Ten,JR,G,33.0,32.0,32.4,5.4,11.1,0.482,0.7,2.3,0.307,4.7,8.8,0.527,0.514,4.4,5.8,0.764,0.5,3.1,3.5,4.2,0.6,0.2,3.5,2.2,15.8,Unknown,Big Ten,JR,G,33.0,32.0,1070.0,16.0,0.571,0.204,0.52,533.0,2.0,11.5,6.9,25.5,1.1,0.6,20.1,27.5,1.6,0.8,2.4,0.091,1.8,-0.2,1.6,Unknown,desmond-claude-1,2,desmond claude,Desmond Claude,Washington Huskies,Washington,Huskies,USC,57.0,14.39,68.6,-0.057,12.67,-1.97,104.0,5.79,67.9,0.011,13.62,-4.3,47.0,-8.600000000000001,-0.6999999999999886,0.068,0.9499999999999993,-2.33,0,0,1,0,1,0,0
2024-25,Eastern Kentucky,A-Sun,SO,G,25.0,25.0,29.7,5.7,15.0,0.38,2.6,7.4,0.348,3.1,7.6,0.411,0.465,4.1,4.8,0.851,1.1,2.6,3.7,3.2,2.6,0.4,2.6,1.8,18.0,Unknown,A-Sun,SO,G,25.0,25.0,743.0,23.2,0.523,0.492,0.324,435.0,3.9,10.0,6.8,22.3,5.1,1.3,13.1,32.6,1.7,1.1,2.7,0.148,3.3,0.4,3.6,Unknown,george-kimble-iii-1,2,george kimble iii,George Kimble III,Vanderbilt Commodores,Vanderbilt,Commodores,Eastern Kentucky,187.0,-2.24,67.8,0.019,-3.42,4.41,48.0,16.23,69.5,0.01,13.38,-6.82,-139.0,18.47,1.7000000000000028,-0.009,16.8,-11.23,0,0,1,0,0,1,0
2024-25,Maryland,Big Ten,JR,F,32.0,0.0,10.3,1.2,2.6,0.47,0.4,1.1,0.371,0.8,1.5,0.542,0.548,0.6,0.9,0.621,0.4,1.5,1.9,0.2,0.4,0.8,0.5,1.3,3.4,Unknown,Big Ten,JR,F,32.0,0.0,331.0,14.5,0.563,0.422,0.349,98.0,4.2,16.6,10.6,3.0,2.1,8.0,14.9,17.0,0.3,0.8,1.1,0.137,-1.0,5.2,4.2,Unknown,tafara-gapare-1,0,tafara gapare,Tafara Gapare,Villanova Wildcats,Villanova,Wildcats,Maryland,10.0,27.07,69.6,-0.028,12.51,-10.46,56.0,14.74,63.4,-0.066,8.19,-6.34,46.0,-12.33,-6.199999999999996,-0.038000000000000006,-4.32,4.120000000000001,0,1,0,0,1,0,0
2024-25,Dartmouth,Ivy,SR,G,27.0,23.0,29.2,5.6,13.4,0.413,2.0,5.4,0.372,3.6,8.1,0.44,0.488,4.0,5.4,0.745,0.5,4.4,4.9,3.3,1.4,0.2,2.9,2.7,17.1,Unknown,Ivy,SR,G,27.0,23.0,788.0,18.1,0.535,0.399,0.399,442.0,1.8,15.9,9.1,23.5,2.6,0.8,15.1,31.9,0.9,1.6,2.5,0.128,-0.3,1.2,0.8,Unknown,ryan-cornish-1,2,ryan cornish,Ryan Cornish,USC Trojans,USC,Trojans,Dartmouth,203.0,-3.37,71.2,-0.057,-3.91,-6.6,57.0,14.39,68.6,-0.057,12.67,-1.97,-146.0,17.76,-2.6000000000000085,0.0,16.58,4.63,0,0,1,0,0,0,1
2024-25,Stephen F. Austin,Southland,SO,G,3.0,0.0,17.0,4.3,9.3,0.464,0.7,4.0,0.167,3.7,5.3,0.688,0.5,1.3,1.7,0.8,0.3,3.7,4.0,1.7,1.0,0.7,1.7,2.0,10.7,Unknown,Southland,SO,G,3.0,0.0,51.0,23.1,0.527,0.429,0.179,28.0,2.2,24.0,13.0,28.2,3.4,4.4,14.1,34.2,0.1,0.1,0.2,0.161,-3.7,0.6,-3.1,Unknown,chris-johnson-12,2,chris johnson,Chris Johnson,UCF Knights,UCF,Knights,Stephen F. Austin,271.0,-8.98,67.6,0.055,-2.17,1.23,67.0,11.95,72.2,0.047,12.27,-1.17,-204.0,20.93,4.6000000000000085,-0.008,14.44,-2.4,0,0,1,0,0,1,0
2024-25,Louisiana Tech,CUSA,JR,G,32.0,32.0,32.1,4.5,10.8,0.422,2.1,5.5,0.373,2.5,5.2,0.473,0.517,1.2,1.4,0.848,0.5,3.9,4.4,1.7,1.5,0.1,1.9,2.1,12.3,Unknown,CUSA,JR,G,32.0,32.0,1026.0,13.5,0.54,0.515,0.134,351.0,1.9,13.4,8.1,10.4,2.7,0.4,14.1,21.8,0.9,1.8,2.6,0.102,-0.5,0.8,0.3,Unknown,amaree-abram-1,4,amaree abram,Amaree Abram,Tennessee Volunteers,Tennessee,Volunteers,Louisiana Tech,127.0,3.53,64.7,0.031,0.76,-2.56,5.0,30.93,63.7,0.029,16.8,-1.04,-122.0,27.4,-1.0,-0.0019999999999999983,16.04,1.52,0,0,1,0,1,0,0
2024-25,Vanderbilt,SEC,SO,F,33.0,1.0,20.2,3.2,6.5,0.488,0.3,1.2,0.231,2.9,5.3,0.545,0.509,1.4,2.5,0.568,2.3,3.5,5.7,0.8,0.6,0.6,1.4,2.5,8.0,Unknown,SEC,SO,F,33.0,1.0,667.0,16.8,0.523,0.181,0.377,274.0,12.4,20.8,16.4,7.3,1.6,3.6,15.6,22.2,0.8,0.9,1.7,0.101,0.8,0.5,1.3,Unknown,jaylen-carey-1,0,jaylen carey,Jaylen Carey,Tennessee Volunteers,Tennessee,Volunteers,Vanderbilt,48.0,16.23,69.5,0.01,13.38,-6.82,5.0,30.93,63.7,0.029,16.8,-1.04,-43.0,14.7,-5.799999999999997,0.019000000000000003,3.42,5.78,0,1,0,0,0,1,0
2024-25,Alabama,SEC,SO,F,37.0,0.0,16.0,2.7,4.4,0.617,0.3,0.7,0.462,2.4,3.7,0.647,0.654,1.5,2.5,0.609,1.9,4.0,5.9,1.1,0.9,0.7,1.1,2.4,7.2,Unknown,SEC,SO,F,37.0,0.0,591.0,24.2,0.651,0.16,0.568,278.0,13.0,23.9,18.8,11.8,3.1,3.8,16.3,18.9,1.8,1.2,3.0,0.203,5.6,5.5,11.1,Unknown,mouhamed-dioubate-1,3,mouhamed dioubate,Mouhamed Dioubate,Kentucky Wildcats,Kentucky,Wildcats,Alabama,6.0,30.34,75.3,0.036,20.14,12.62,16.0,24.54,70.9,0.01,18.23,3.64,10.0,-5.800000000000001,-4.3999999999999915,-0.025999999999999995,-1.9100000000000001,-8.979999999999999,0,1,0,0,0,1,0
2024-25,Pittsburgh,ACC,SO,G,31.0,31.0,35.4,5.4,14.3,0.376,1.3,5.0,0.266,4.0,9.3,0.434,0.422,4.7,5.4,0.886,0.9,3.3,4.2,5.5,1.8,0.2,3.0,2.2,16.8,Unknown,ACC,SO,G,31.0,31.0,1098.0,18.3,0.499,0.348,0.376,568.0,2.9,11.1,7.0,31.1,3.0,0.8,15.0,29.1,1.8,1.4,3.2,0.117,2.6,1.2,3.8,Unknown,jaland-lowe-2,2,jaland lowe,Jaland Lowe,Kentucky Wildcats,Kentucky,Wildcats,Pittsburgh,63.0,13.5,66.5,-0.068,8.6,3.76,16.0,24.54,70.9,0.01,18.23,3.64,-47.0,11.04,4.400000000000006,0.078,9.63,-0.11999999999999966,0,0,1,0,0,1,0
2024-25,Tulane,AAC,FR,G,33.0,28.0,32.4,3.4,7.0,0.485,1.9,4.6,0.412,1.5,2.4,0.628,0.621,0.6,0.8,0.76,0.7,3.8,4.5,1.3,1.4,1.1,0.8,1.6,9.3,Unknown,AAC,FR,G,33.0,28.0,1068.0,15.2,0.63,0.662,0.108,270.0,2.6,12.8,7.9,7.7,2.5,3.9,10.3,13.1,1.7,1.7,3.3,0.125,1.6,1.7,3.3,Unknown,kam-williams-2,2,kam williams,Kam Williams,Kentucky Wildcats,Kentucky,Wildcats,Tulane,144.0,1.42,67.1,-0.021,-0.64,-6.46,16.0,24.54,70.9,0.01,18.23,3.64,-128.0,23.119999999999997,3.8000000000000114,0.031,18.87,10.1,0,0,1,1,0,0,0
